id,wgn_id,month,tmp_max_ave,tmp_min_ave,tmp_max_sd,tmp_min_sd,pcp_ave,pcp_sd,pcp_skew,wet_dry,wet_wet,pcp_days,pcp_hhr,slr_ave,dew_ave,wnd_ave
1,1,1,3.1088920056101,-3.38054698457223,5.02618307732657,4.26335882755868,1.10695652173913,3.490165415668,5.6267731689092,0.277511961722488,0.603389830508475,12.8260869565217,14.8965786171995,3.41441935483871,0.857959747545582,1.83362903225806
2,1,2,6.26798461538462,-2.25335384615385,5.57551557239938,4.43938669409935,1.75526153846154,4.40425155385953,3.37768810446542,0.260981912144703,0.615969581749049,11.4347826086957,10.987224014522,6.44943362831858,0.793804769230769,2.24975221238938
3,1,3,11.3192286115007,1.22963534361851,5.46255407446769,4.11222804933777,1.41913043478261,4.06336120705188,4.46380228739626,0.279236276849642,0.598639455782313,12.7826086956522,12.7804362326598,11.6215967741935,0.714937727910238,2.35217741935484
4,1,4,17.2711884057971,5.6438115942029,4.67083636769054,3.48291785726364,1.54805797101449,3.73128553233001,3.48814709890153,0.321428571428571,0.577181208053691,12.9565217391304,9.87026555661419,16.4216166666667,0.695994927536232,2.36516666666667
5,1,5,21.1603646563815,9.52406732117812,4.34302331932862,3.17788213094163,2.50253856942496,5.60348360562645,3.42778719000941,0.397727272727273,0.609418282548476,15.695652173913,16.4048524532179,19.2903548387097,0.747250911640954,2.35995161290323
6,1,6,25.0603768115942,13.051652173913,4.24411938449242,3.03513023670032,2.84763768115942,6.6520361527421,3.56023746914511,0.387573964497041,0.625,15.304347826087,21.605927721503,21.0029833333333,0.735437826086957,2.1048
7,1,7,26.8065918653576,14.8230715287518,3.96232237723201,2.64664674777668,2.88183730715288,6.49913385468666,3.30755397425055,0.385269121813031,0.622222222222222,15.6521739130435,18.9920929628616,22.6235806451613,0.73993618513324,1.71661290322581
8,1,8,26.5872089761571,14.0256241234222,4.12755728457491,2.75610067616734,2.34451612903226,5.80446755705268,3.16814569218509,0.261640798226164,0.549618320610687,11.3913043478261,15.4816520951512,19.2595483870968,0.760974754558205,1.75862903225806
9,1,9,20.9874637681159,10.1276666666667,4.27941626541584,3.30559817705905,2.92402898550725,7.54007066289705,3.5466364010764,0.241813602015113,0.668941979522184,12.7391304347826,22.4607428678611,13.70435,0.801138115942029,1.70071666666667
10,1,10,15.9604628330996,5.92047685834502,4.64552224106464,4.01331341957583,2.07929873772791,5.81773396092713,4.16563154084246,0.268065268065268,0.591549295774648,12.3478260869565,18.9275069295812,8.58585483870968,0.852893548387097,1.5916935483871
11,1,11,9.25813043478261,2.34004347826087,5.14183432397259,4.13239278139233,1.92957971014493,4.8578521085992,3.51544608416443,0.291139240506329,0.606779661016949,12.8260869565217,13.4300957438919,3.9964,0.882612608695652,1.70798333333333
12,1,12,3.71085553997195,-2.23338008415147,4.56855098640017,4.18380977832788,1.47753155680224,3.95538522384569,4.02243771089633,0.298795180722892,0.580536912751678,12.9565217391304,13.1109647559182,2.49477419354839,0.879661009817672,1.73066129032258
