lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
orcd,,,,,initial_plant,orcd,"2,20000,0,0,1,10000",
orcd,5,1,5,31,fertilizer,elem_n,broadcast,60
orcd,9,1,10,31,harvest_only,orcd,orchard,
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
rngb,,,,,initial_plant,rngb,"1,1000,0,0,1,1000",
bros,,,,,initial_plant,bros,"1,5000,1,0,0,0",
urld,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urld,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urmd,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urmd,9,1,9,1,harvest_only,rnge_test,grass_mulch,
oak,,,,,initial_plant,oak,"2,50000,0,0,1,10000",
pine,,,,,initial_plant,pine,"2,50000,0,0,1,10000",
popl,,,,,initial_plant,popl,"2,50000,0,0,1,10000",
barr,,,,,initial_plant,berm,"1,1000,0,0,1,1000",
frsd,,,,,initial_plant,frsd,"2,50000,0,0,1,10000",
frse,,,,,initial_plant,frse,"2,50000,0,0,1,10000",
uidu,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
uidu,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urhd,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urhd,9,1,9,1,harvest_only,rnge_test,grass_mulch,
urml,,,,,initial_plant,rnge_test,"1,1000,0,0,1,1000",
urml,9,1,9,1,harvest_only,rnge_test,grass_mulch,
will,,,,,initial_plant,will,"2,50000,0,0,1,10000",
wpas,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas,5,1,5,31,fertilizer,manure,broadcast,16
wpas,9,1,10,31,harvest_only,wpas,grass_mulch,
barr_pond_62,,,,,initial_plant,berm,"1,1000,0,0,1,1000",
barr_pond_79,,,,,initial_plant,berm,"1,1000,0,0,1,1000",
barr_pond_12,,,,,initial_plant,berm,"1,1000,0,0,1,1000",
barr_pond_46,,,,,initial_plant,berm,"1,1000,0,0,1,1000",
bros_pond_69_drn,,,,,initial_plant,bros,"1,5000,1,0,0,0",
frst_pond_88,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
popl_pond_36,,,,,initial_plant,popl,"2,50000,0,0,1,10000",
popl_pond_86,,,,,initial_plant,popl,"2,50000,0,0,1,10000",
popl_pond_89,,,,,initial_plant,popl,"2,50000,0,0,1,10000",
rngb_pond_59_drn,,,,,initial_plant,rngb,"1,1000,0,0,1,1000",
rngb_pond_80,,,,,initial_plant,rngb,"1,1000,0,0,1,1000",
wpas_pond_30_drn,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_30_drn,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_30_drn,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_29,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_29,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_29,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_74,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_74,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_74,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_73,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_73,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_73,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_72,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_72,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_72,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_70,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_70,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_70,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_67,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_67,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_67,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_43,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_43,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_43,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_81,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_81,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_81,9,1,10,31,harvest_only,wpas,grass_mulch,
