lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
orcd,,,,,initial_plant,orcd_comm,"2,20000,0,0,1,10000",
orcd,9,1,10,31,harvest_only,orcd,orchard,
frst,,,,,initial_plant,frst,"2,50000,0,0,1,10000",
frse,,,,,initial_plant,frse,"2,50000,0,0,1,10000",
frsd,,,,,initial_plant,frsd,"2,50000,0,0,1,10000",
wetl,,,,,initial_plant,wetl,"2,50000,0,0,1,10000",
fesc,,,,,initial_plant,fesc,"1,1000,0,0,1,1000",
fesc,3,20,3,31,fertilizer,elem_n,broadcast,35
fesc,5,25,6,15,harvest_only,fesc,hay_cut_low,NA
fesc,6,15,6,30,fertilizer,elem_n,broadcast,30
fesc,7,1,7,15,harvest_only,fesc,hay_cut_low,NA
fesc,8,20,8,31,harvest_only,fesc,hay_cut_low,NA
fesc,10,1,10,15,harvest_only,fesc,hay_cut_low,NA
alfa,,,,,initial_plant,alfa,"1,1000,0,0,1,1000",
alfa,4,1,4,15,fertilizer,elem_n,broadcast,35
alfa,7,10,7,20,harvest_only,alfa,hay_cut_low,NA
alfa,8,14,8,20,harvest_only,alfa,hay_cut_low,NA
alfa,9,24,9,30,harvest_only,alfa,hay_cut_low,NA
